N5325BAINITE,N5440MARTENSITE
11304.9504,30447.83
8096.788799999999,3394.88
5958.014399999999,7001.9400000000005
9471.715199999999,4243.6
14665.8816,4243.6
5958.014399999999,4455.780000000001
4735.857599999999,6047.13
4583.088,3925.3300000000004
11304.9504,10290.730000000001
5805.2447999999995,5304.5
7944.0192,6153.220000000001
6721.8624,9654.19
5805.2447999999995,6153.220000000001
8402.328,7108.030000000001
4888.6272,4455.780000000001
8860.6368,11457.720000000001
4583.088,4774.05
17262.964799999998,7426.3
4583.088,4667.960000000001
10235.563199999999,4349.6900000000005
9471.715199999999,3925.3300000000004
7944.0192,5304.5
6110.784,5198.410000000001
4735.857599999999,6259.31
12527.107199999999,3607.0600000000004
7027.401599999999,7001.9400000000005
6874.632,9017.65
29331.7632,7320.210000000001
6569.092799999999,5622.770000000001
7332.9408,3288.7900000000004
5194.166399999999,3288.7900000000004
5041.3967999999995,5304.5
20623.896,11033.36
15888.0384,5198.410000000001
4735.857599999999,6365.400000000001
6569.092799999999,7850.660000000001
8402.328,4667.960000000001
16651.8864,9442.01
18637.8912,8805.470000000001
9624.4848,3182.7000000000003
4583.088,8593.289999999999
5652.4752,4243.6
7791.249599999999,7426.3
7027.401599999999,3713.15
6874.632,11457.720000000001
5346.935999999999,6153.220000000001
4888.6272,18671.840000000004
11610.489599999999,7320.210000000001
8096.788799999999,8805.470000000001
7027.401599999999,12412.53
15124.1904,5304.5
5958.014399999999,9123.74
5958.014399999999,4349.6900000000005
6569.092799999999,3607.0600000000004
16346.3472,14852.6
6569.092799999999,16656.13
9471.715199999999,10396.820000000002
6110.784,4349.6900000000005
11916.028799999998,3182.7000000000003
5652.4752,6683.670000000001
5194.166399999999,11882.080000000002
11457.72,3925.3300000000004
5194.166399999999,6895.85
6569.092799999999,4349.6900000000005
5346.935999999999,4031.42
5041.3967999999995,6153.220000000001
5499.7056,8168.930000000001
6569.092799999999,10927.27
4735.857599999999,14003.880000000001
6110.784,4243.6
7944.0192,6153.220000000001
5805.2447999999995,4137.51
7791.249599999999,6789.76
8707.867199999999,11033.36
6110.784,9123.74
9013.4064,3394.88
10541.102399999998,8911.560000000001
4888.6272,3819.2400000000002
5958.014399999999,4774.05
5652.4752,3607.0600000000004
8860.6368,18247.48
16804.656,3182.7000000000003
14207.572799999998,4880.14
4888.6272,12094.26
7027.401599999999,3394.88
5652.4752,6365.400000000001
9318.9456,9229.830000000002
11457.72,7320.210000000001
20471.126399999997,3819.2400000000002
7332.9408,4986.2300000000005
4888.6272,3394.88
5041.3967999999995,4349.6900000000005
7485.7104,4349.6900000000005
11610.489599999999,4455.780000000001
7332.9408,21111.91
5652.4752,10715.090000000002
7944.0192,3713.15
6263.553599999999,4986.2300000000005
9318.9456,13473.430000000002
5805.2447999999995,4455.780000000001
9318.9456,9760.28
21998.8224,8699.380000000001
4888.6272,9654.19
8707.867199999999,3182.7000000000003
6874.632,4031.42
4735.857599999999,8487.2
7180.171199999999,16443.95
10999.4112,4137.51
13443.7248,36494.96
5958.014399999999,3500.9700000000003
4735.857599999999,9017.65
8249.5584,4137.51
5958.014399999999,15383.050000000001
6416.3232,8381.11
9166.176,10821.180000000002
13290.955199999999,4349.6900000000005
9930.024,5516.68
5958.014399999999,7850.660000000001
9777.2544,11988.170000000002
5194.166399999999,7320.210000000001
7332.9408,5834.95
11763.259199999999,4667.960000000001
11457.72,15913.5
8402.328,5198.410000000001
4735.857599999999,4455.780000000001
6263.553599999999,3607.0600000000004
6263.553599999999,6047.13
9777.2544,6047.13
8860.6368,6365.400000000001
11152.1808,5516.68
4888.6272,3713.15
8707.867199999999,8168.930000000001
