N5325BAINITE,N5440MARTENSITE
13443.7248,32145.270000000004
4583.088,6789.76
8860.6368,4243.6
15276.96,3925.3300000000004
5805.2447999999995,4455.780000000001
8555.0976,5728.860000000001
6569.092799999999,4561.87
4735.857599999999,7956.75
4888.6272,3394.88
7027.401599999999,5516.68
4735.857599999999,6789.76
7944.0192,10184.640000000001
4735.857599999999,6471.490000000001
4583.088,4561.87
9777.2544,4031.42
8555.0976,13473.430000000002
4735.857599999999,6895.85
5041.3967999999995,7638.4800000000005
4888.6272,8593.289999999999
9318.9456,5092.320000000001
4583.088,3394.88
17568.503999999997,4880.14
10235.563199999999,4986.2300000000005
10082.793599999999,6047.13
9166.176,3607.0600000000004
6263.553599999999,7744.570000000001
14360.342399999998,7320.210000000001
6721.8624,5941.040000000001
4888.6272,3182.7000000000003
6874.632,9123.74
7180.171199999999,11033.36
28567.9152,3500.9700000000003
6721.8624,7426.3
5499.7056,5410.590000000001
5652.4752,5304.5
21540.5136,3288.7900000000004
4583.088,5941.040000000001
6416.3232,4880.14
7638.48,4455.780000000001
16957.4256,8911.560000000001
16651.8864,5410.590000000001
9777.2544,5198.410000000001
5805.2447999999995,8062.84
14818.6512,3819.2400000000002
7180.171199999999,9654.19
7027.401599999999,11563.810000000001
6110.784,4137.51
5805.2447999999995,7001.9400000000005
5041.3967999999995,16019.59
12068.7984,9123.74
7791.249599999999,7001.9400000000005
17262.964799999998,5728.860000000001
6263.553599999999,13579.52
4888.6272,5410.590000000001
5346.935999999999,5092.320000000001
5958.014399999999,3288.7900000000004
18485.1216,3925.3300000000004
9777.2544,4243.6
5958.014399999999,3713.15
11457.72,10609.0
5805.2447999999995,16762.22
6569.092799999999,11033.36
5346.935999999999,4243.6
7944.0192,4137.51
5041.3967999999995,3288.7900000000004
6569.092799999999,5941.040000000001
5041.3967999999995,3500.9700000000003
6263.553599999999,5092.320000000001
7180.171199999999,12518.62
4583.088,7214.120000000001
6416.3232,6577.580000000001
8249.5584,4880.14
5958.014399999999,7850.660000000001
8555.0976,11139.45
8860.6368,4561.87
5041.3967999999995,14746.51
9013.4064,3182.7000000000003
10388.332799999998,6471.490000000001
5499.7056,6789.76
6110.784,3713.15
5958.014399999999,10927.27
9166.176,3182.7000000000003
24748.675199999998,3819.2400000000002
13749.264,8805.470000000001
5194.166399999999,4243.6
4583.088,5304.5
6721.8624,5516.68
9624.4848,3925.3300000000004
12985.416,3394.88
6569.092799999999,9229.830000000002
8249.5584,3394.88
5041.3967999999995,10609.0
5194.166399999999,5410.590000000001
8249.5584,10396.820000000002
11763.259199999999,12624.710000000001
7944.0192,3607.0600000000004
6874.632,3819.2400000000002
4888.6272,8381.11
4583.088,5092.320000000001
7180.171199999999,3819.2400000000002
9624.4848,3500.9700000000003
4735.857599999999,10078.550000000001
25512.5232,4667.960000000001
8860.6368,4561.87
12068.7984,20263.19
8707.867199999999,3607.0600000000004
6263.553599999999,14958.690000000002
5499.7056,3819.2400000000002
8249.5584,4986.2300000000005
13443.7248,4031.42
8555.0976,4561.87
4888.6272,4349.6900000000005
10235.563199999999,9548.1
6263.553599999999,8699.380000000001
7027.401599999999,17929.210000000003
7027.401599999999,4561.87
14513.111999999997,8911.560000000001
5652.4752,3394.88
14207.572799999998,17610.940000000002
4583.088,8062.84
4583.088,36601.05
