N5325BAINITE,N5440MARTENSITE
1.8571428571428572,1.630769126857542
2.578947296530185,1.365853588362289
1.761904807944241,2.631578908858525
1.7777777777777777,2.6774193174299135
2.2499999578531473,2.375000076026961
2.357142799580924,1.8245612469570318
2.5,4.085714846924802
2.228571328873557,2.375000074970027
2.795918509520785,3.4374996934901
1.7272727272727273,1.5384615181152563
3.6250002318076904,2.9428573069108444
1.499999881528856,1.4843748301187571
2.2842103316008977,1.4166666853986
1.0909090686165424,2.5714285714285716
1.9565215012923296,4.2
1.4285714285714286,3.672727318916444
1.1428571153326683,1.538461440314755
2.2835820735392494,3.263157869363595
2.078124985960487,1.0273972511067813
2.8533330819832003,3.6333330261565737
1.9803920252758676,3.550239141086912
2.0000001348699246,5.818181930618448
1.6666666167148476,3.8181819176431873
1.0,2.342391593610049
1.1538462256703736,2.4000001415058962
1.589743556885603,1.3571427883316707
1.0833333146014,2.0952381204572768
5.142857316937198,2.9370628605730316
1.1538462256703736,2.4500003625217355
1.8999998853605642,1.2352942393976971
2.5461538377648583,1.125
2.2432431836729654,3.5944695731354965
1.1904761992456154,3.086419870419536
2.5000002528811165,3.073170727133392
2.6102942507574465,3.0181822382752714
1.272727205849627,2.5789473255585946
1.75,2.750000210734264
1.1818182598421016,1.1818181818181819
1.9999998563912809,1.7179487492989578
2.2307693884529276,4.0
1.7407405798177933,5.713414831614163
2.7352941251742746,2.318181800947843
1.2592592550709913,2.308695479726435
1.902912615209599,2.357142891569943
1.1818182598421016,1.2982456709099894
2.0,1.1818182598421016
1.7407406328641999,3.1000000635782876
3.3193273862056296,1.272727205849627
1.0,2.6249999293067114
1.8809524039721206,2.6999998229116535
2.4571429802655818,2.8
3.2352937425941914,2.95151518930701
2.1304347891087367,2.2857142857142856
2.1666666666666665,2.571428461330673
1.9354837869593393,4.433332778576075
1.9230767056834224,1.727272548932339
2.708332997119318,1.9
2.309523732336443,3.1666666666666665
2.125,3.9109592857449704
4.2318061828018045,2.63157928360925
2.4000000568661504,2.7285712309599433
2.3396223572362977,1.017857209760311
2.1250001475139846,1.0714286540019953
1.6097561349872704,1.1428571153326683
1.6065574756825394,2.1428570118445593
1.454545343082712,3.8333332759362775
3.529411664343007,1.1428571428571428
1.7428571491457472,2.552239088622389
1.4285714285714286,1.7454544972562154
2.656250135341712,3.7871618518804806
3.099999746399745,2.869565074868461
1.3571429635490642,2.699999940764435
4.199999788895194,1.1874999683898604
2.511628061710266,1.0769229492355885
1.5999999460520302,1.7142857142857142
1.0,1.904761800909955
2.444444307140027,2.9230771770138806
1.2307691828864176,2.4444444444444446
1.1538461059633456,2.7250001430511475
2.3255813560683305,2.1573035083375705
1.0909090686165424,2.714285890834042
1.3913042938082476,3.266666235082938
1.7142857693346636,3.8529412534370833
1.5833332022097988,3.9629632299437882
1.0,1.9999998563912809
2.083333426993001,2.0444444547301557
1.2280701848360953,3.1395347216843943
1.0,2.0
2.3692308470393075,4.009615201409445
2.5476191834061797,1.3888889689831365
2.0566037847073146,3.654450441501391
1.727272548932339,1.7076921985027012
2.216494994914041,3.322034096341116
2.61666677665877,1.6904761661477656
1.23333336705081,3.3636362757428127
1.1818182598421016,2.405405388570796
1.533333447123637,2.068181677090509
2.473684224813802,4.921260100618587
2.3636362744661694,3.99590165673281
1.272727205849627,2.6277371036253867
2.3888888999267857,2.0
2.8235295264995783,2.187500066640011
2.3333334332369864,2.586206984809511
2.1599997249605702,1.7204301086990053
2.6666666666666665,1.1
2.73913057128347,2.3999998541158565
1.7142857142857142,1.4999998876083989
2.1525426014941504,1.405405458366944
2.0000001544674815,3.018749914010521
1.7142857142857142,1.1333332973680226
2.206185420978008,1.4615384818847437
2.370370382431333,4.2857140245942045
1.5999998381561016,2.0
1.0,2.125
1.6285714191566103,2.9444443786271424
1.3333331962557675,1.8999999809918178
2.1666666666666665,3.0
1.7142857142857142,3.5757577158750062
3.323529878902692,1.0
2.0800000166628516,2.70454543862905
2.954545283937819,1.6363634803157967
3.0270268320527394,2.6470590019993994
1.615384695189304,1.625
1.3000000539479661,2.3913046897478685
1.0833334269930008,4.083333583927492
1.0,1.4027778667681585
2.3823526965942303,2.3333333333333335
2.0,2.302521091341057
2.891304764267405,2.303030285515624
2.2857142857142856,3.882353233363077
2.0683228720010995,3.7999997654271374
2.294642852143006,1.5714285714285714
1.2180937620833603,4.483146058141745
2.0,1.0810809856363668
2.708333600304475,3.641025734131106
2.5151513645138026,3.589473672622874
1.5967743652455728,5.209301863611475
2.4285714285714284,3.150684566873777
1.6666667415944008,2.797618948992642
3.4,2.791666826849352
2.0655737468625577,3.1549297007288692
2.1,2.2857142857142856
1.1666666292027996,1.1098900773167706
4.807947209677589,1.5660375901975325
2.1470589223839953,12.550000738151075
1.25,2.937869583371592
1.3000000539479661,3.6
3.1323530763905305,1.25000002935815
2.1111110944605023,2.4999998476799523
2.7692308954130587,2.9999997109930443
4.941176751604311,2.1827959448154686
2.095238136269155,4.199999676312204
1.1111111111111112,2.977876043654645
3.3000001891186947,4.6637923992304104
2.777778110789954,3.9230761786014767
2.078431623815977,1.8571428571428572
1.0828401603723665,3.4035090866747497
4.318181722272641,3.2978721958585417
3.7142857693346634,1.875
1.6999999460520339,1.3793103287907367
1.1818181372330847,2.5
2.765217479684906,2.583333449384901
1.6666665695777798,2.25
3.3750003200336143,3.954774011582937
2.4615384799214906,2.8333333333333335
3.5555554282029065,1.8749999262731303
2.62365585398631,2.56470600576222
1.230769055198934,2.309523677241138
3.2857142306653366,2.249999831412598
1.6999999460520339,1.5238094512761677
1.2307691828864176,3.527272401248533
1.5217393727236161,3.0528846738813136
3.4318180883940115,2.6666668664739723
1.322580816908476,1.0666665587707345
2.3333333333333335,1.0588234131982002
2.4687500390468844,2.2999999136411318
1.2272726102368474,2.2469135468709194
3.3181816281376397,6.7666676839192705
1.2710281310659928,4.770832971923891
1.0833334269930008,3.073170727133392
1.8837209888784059,1.8199998350642796
2.857142802093913,1.700000094204744
1.700000060691466,2.7083333363181614
2.1818181818181817,1.8125000339431823
1.700000060691466,2.9444444322526877
2.5000002528811165,1.873239483366053
1.2222222222222223,2.1666666056080395
2.199999805487868,2.91999969801473
1.4615386214246842,3.567901004036749
1.8918920372171428,4.000000599421917
2.5749997133704654,1.8095238211470421
1.5714285714285714,2.6551724605481564
3.3090908995858097,3.6883118803437007
2.8400002485087312,2.3178807794704355
2.3333333333333335,2.3749998217794004
1.9459457208607893,2.428571662484496
1.4285714285714286,2.2058822049059352
1.597014692432072,2.888888622479188
1.7777775446692892,3.499999881528856
2.0,2.622222303143479
1.7777777777777777,1.4285714285714286
1.272727205849627,2.6250000632202792
1.0999999592900345,4.270902507514269
2.499999905756772,1.5517241992601962
2.0973453171001957,1.6363637255338304
1.5,3.2307695548824085
1.3050848175647172,2.8
1.939393827460881,1.9879517575345458
1.2876711448649194,2.3043479657593244
2.377777680938233,1.684210366046763
2.700000080232178,1.687943413409367
2.4411767768783754,1.454545343082712
1.5,2.3376624977815585
3.142857142857143,3.643109589194944
1.6923077228271155,1.875
1.1610737765255588,2.377358695712689
1.1666666292027996,1.9310342568495795
1.2857142306653364,1.5609755258647784
2.4814814981577626,3.5000000842937053
2.3303571319718297,3.4500003625217355
1.7105263554158283,2.29166657115218
3.5714285714285716,5.960176572889854
1.722222174669504,2.314606957611235
6.528887747175223,1.893939375906926
2.867924334235886,3.8611106106555066
2.1935483769764748,1.5769230579301279
3.1607142536124386,2.770833234113064
1.8333333333333333,2.0
2.763157736053675,1.0820895250167242
3.1363636617886894,3.3980100732977663
4.200000240696521,1.6164385444718
3.2713183069984337,5.411764392825274
1.5952381182578348,3.5714285026173913
2.2727274105603446,1.1249999789265737
1.0833333146014,1.6666667415944008
1.5454545343082713,4.562499802481073
3.263157751861982,2.724138203188857
2.2567568385101024,3.441176708269562
3.1176472015995196,3.1250003161013957
1.1333332973680226,2.142857142857143
3.79012335107106,2.2857144233366355
1.8513515231540059,2.9090910263865837
4.185184992390533,4.285714616007981
1.8571428571428572,1.041666557397071
2.813559167957777,2.875
1.199999856138757,2.6666666666666665
2.2656247033692694,2.142857142857143
2.7777777777777777,5.0833338932779535
1.6551725554993426,3.355555879471515
2.047619198490704,2.6666667225145066
2.826666509909983,2.2631579101408015
3.235293888071868,1.5714285714285714
3.093749817917342,3.049999835107204
2.571428658468599,2.596774544306399
1.6923077561514432,1.454545343082712
2.404255324202115,3.2031252571888427
1.1666667415944008,1.4756096794843123
3.4999999482055877,4.513513526225656
2.5312499893812888,3.2096775043791586
1.200000143861256,1.4415583838380417
1.9090909152466398,2.5714285714285716
4.490196271937264,1.1494252613434268
3.8333330018722664,2.7916667252039558
2.3013699916036754,2.3789473436842736
4.410526798698525,2.5000002528811165
1.5999999280693786,2.742856993310335
2.0624999458549804,3.15596308478297
3.4782609416766985,1.4999998876083989
2.124999889662836,2.500000240274033
1.727272548932339,1.9787235855971543
2.750000210734264,1.2857142306653364
1.8999999057341688,1.4680850377849841
3.142856916953295,1.2
3.3414639886618773,3.7435897498597916
4.044776107372971,5.258064238263501
1.499999806138132,1.6363634803157967
2.6969697952081635,2.561983150776517
2.1600000537371535,1.3333333333333333
3.085713813036438,2.9026219832113664
1.7777778110789955,3.33333342928643
4.483870956115867,3.6666667415944008
2.413043696278903,2.5714285457946287
2.7692306528964528,1.2307692307692308
1.0,2.0
2.2051281539437153,4.333333399560714
1.0666665587707345,2.142857142857143
2.3749998667199788,1.6666666666666667
2.583333348142227,2.517241153805781
1.7413794065245798,2.6666665168111985
1.625,2.0333330577744797
1.2142857693346636,3.0434784832052006
1.9999997925078312,3.6
1.1999999460520339,2.1666666666666665
2.0645159940069724,1.0769229492355885
2.2499999578531473,1.1578948195421879
4.105263199664582,4.903225450610078
1.714285762621542,1.2400000866278873
1.38461516116228,1.272727205849627
2.3333331852444075,3.1298697620535765
1.9230768760515635,1.5671641930242133
2.0,3.2432433387210127
1.9761904531707366,3.6785712546442118
1.875,2.288461375580535
3.230769268623918,1.8235292771542186
2.0810812217593235,2.0408162024417487
2.2857140104695968,3.017699098507386
3.6923073730889713,2.5384615563064084
2.416666757068423,2.106194813362561
2.0909089460075254,2.137254848315687
4.034482423488479,1.0909090686165424
2.6666666666666665,1.5000001011524433
1.0,3.722772235533606
4.173913123291043,2.142857142857143
2.425926186964376,2.76190492114443
1.1818181372330847,2.703389709950959
3.193548193932181,1.9801323969771671
1.7857144233366589,2.3396226940792824
3.382022326046278,2.9378877585483685
1.8653844569952145,2.7272728905306836
1.9275360846996716,2.1807229677811404
3.2857142306653366,1.125
3.0289855617259107,2.0142856717232314
1.7777778110789955,3.0
2.0,1.5432098839506145
1.3636363970751864,2.0
2.833333524362307,2.218181873913186
2.4736838975477875,2.342856888647814
3.124999776172355,2.3636362744661694
2.999999928380445,1.4166666853986
2.0,1.0648148329778053
1.3999998921040677,2.1666666666666665
2.834042131444254,1.454545343082712
2.7499998667199548,2.8148149063884786
2.554216921135302,2.3333334332369864
1.454545343082712,1.6824644294817928
1.0333333567894287,4.168674741040349
1.0952381097447665,1.5
5.525423766369833,2.5
2.7628864684269963,1.0
2.5000002528811165,1.7499999627471003
2.1573034031187626,2.789473708023003
1.272727205849627,2.154639241392042
3.173076947011181,4.062499891390065
2.199999676312203,1.8888886387831403
2.0,3.9213482728317715
1.6451615228968948,2.6250000632202792
1.7142857142857142,1.6962023291781085
1.862068879454455,1.8333333333333333
4.080000124726949,6.204545321908751
2.1111110944605023,3.4
3.0303029265516446,2.0
2.7642273341831416,2.1666665942526753
2.7142855766633414,1.5000001011524433
2.0000001246872845,3.9540230930893543
3.404761844712839,2.783019395950257
3.8571427185680904,2.045454524260644
2.0,1.9285714493576456
4.5,1.1333333333333333
2.544668462598528,3.359999798468432
5.375,2.615385156218055
1.7878788861172543,2.173913123908517
1.577777740705584,3.4102562430517356
1.857142987702898,1.6744184813078493
1.7096775553684347,1.8461540597898085
2.3373493676008605,2.7600002530752077
2.1666666666666665,2.165198506467463
2.5757576651189305,3.969177988359304
3.2475246501458885,1.2222222222222223
1.5,1.646739097171734
3.2571430718337386,2.468750140090544
3.089108813490804,3.066037684662861
2.1250001475139846,1.1818181818181819
4.050000482525345,2.392857228924857
3.29545410830737,2.8571430773386544
1.5454545454545454,1.2500000561958005
1.1249999789265737,2.470588580233516
3.584616263974431,1.1346153642568793
2.868613351845032,1.3018869240203352
4.285714474372413,3.000000153818443
3.5652174284697558,2.616438457166694
1.75,1.9099998669571625
2.270491707618838,2.282051408945247
1.6666666167148476,2.4347827424911204
2.5,3.3461538962926656
2.1600000079653214,3.1190475659135237
3.3333332008785725,2.0985916105249385
2.2032520462205105,3.074074253116493
2.749999965304007,2.064327529812218
1.749999874637245,2.142857142857143
1.789473638609851,1.3999998921040677
4.230158771253066,3.3805969580462736
2.0,2.627737232894536
1.5833332022097988,2.7142857142857144
2.4000000993124515,2.52238809367839
2.4000001489686897,2.7222222308037485
4.285714616007981,2.277777869922001
2.1538461219242784,1.5252525223188527
1.329411829458984,2.7599999097851162
3.0,1.644627959739253
2.5833332917247076,1.272727205849627
1.0813954507165129,1.8030302924193666
1.2857144233366589,1.6842104581195614
1.0555555472302511,3.008130142870089
3.0,2.652778131824246
2.8750000210734266,1.722222130077999
2.5151516133899814,2.478260889720989
3.6153844702749827,1.3000001416134206
4.5833334759914885,5.672728831850139
1.1818181372330847,2.3818180168979217
2.4761904063170985,2.0731705371448554
2.5,6.851063801768498
2.642857316937197,3.1000001078959323
4.756521731001325,1.9736842195925008
1.1666666666666667,3.210526250840681
1.7777778110789955,3.1409396473591453
2.946236089151058,1.850299492263764
2.473684222578202,3.2000002397687313
2.0,1.5625001580506979
2.0,1.961538559685245
2.7272727941503727,4.587155455960361
2.5660376248682746,2.619047742140798
1.0909090686165424,2.449999898051467
2.375000095413989,1.8292682650756715
4.2222221889210045,1.2857142306653364
2.5151514427609554,1.375
4.633587920055433,2.7741936778960827
3.428571538669327,2.023584944014305
2.125,3.905982280102288
1.1538462256703736,2.399999886267707
3.299999773012128,2.3355262637811998
1.0769230609621392,5.571427933439053
2.615384542547813,3.116666491254099
1.6666667863405993,1.0588234360761803
1.807017483107573,4.6666665168111985
2.8571430773386544,3.266666349163993
1.5999998381561016,2.2
1.0714286540019953,2.6969694488182787
1.911764487212202,1.3243242898574135
1.625,3.0895522916823257
2.99999978509242,2.4545453709483924
1.272727205849627,1.407894652593715
2.5,1.1428571428571428
2.6666667790066554,4.926470731868237
3.499999887608399,1.7142857142857142
1.1666666292027996,2.6279071994813865
2.823529317847582,2.1769915769648156
1.1999999640346861,2.043689364523798
1.2199999666350256,4.240964052840746
2.0,2.1678830720753814
3.833332998653816,2.811475409338719
1.3333332584055992,2.5217391235699753
3.1428573080039905,1.8
2.444444311239594,2.3488371609620327
3.910255845699943,2.4821428351125316
2.5000002528811165,1.2371134583518768
2.705882196412637,3.1250003161013957
2.027397175859028,2.6129033994697815
1.5454545343082713,2.0
2.7142855766633414,1.874999975009991
3.4090904650670093,1.9090909313834576
2.8870968393278607,2.512500155472877
1.1333332973680226,3.282485848764181
2.876923206568348,1.8571428571428572
2.2307690036411283,3.228915511572082
3.2500001264405585,2.554053963568028
1.0819672669422318,1.5483871504451832
2.4814815657701748,2.7043475547784204
2.3023257466596942,1.205882501666166
2.772727240757547,2.5822783749996376
2.526315735012464,1.6422018173086306
2.0,2.4545455930493922
3.0,3.5
2.0000002997109587,1.8999998853605642
2.3333333333333335,1.0769230609621392
5.096385627202693,1.199999856138757
1.0,1.6875001374450496
4.247525073301464,1.6666666666666667
2.051724038933111,2.9268291207880606
2.473684431770738,2.0697672722568554
1.8133333045431093,1.639706128119208
3.145161317200477,3.700000171189786
1.7,1.2199998620221064
1.0909090686165424,2.142857142857143
1.7647059487623802,2.1428573080039905
4.8000005501635075,1.9322031070215628
2.428571592310549,1.5789473549824378
1.7083333064698858,2.1621621449287067
2.7999997842081354,3.359999798468432
2.181818283548924,1.0
2.0,1.2222222222222223
1.7777775446692892,1.5454545343082713
1.7777777777777777,2.8750000210734266
1.6666666167148476,2.2461538815317192
1.315789558996563,1.3157894268804404
3.7873558715187,2.2068965003811702
1.3636363203074378,2.9210527009321487
2.9375003248700953,1.169230866186062
2.130434719625715,1.0319148914156615
2.289473607512796,2.2727270582678414
2.750000110518291,2.142857142857143
4.333333333333333,2.6
2.1666666666666665,1.704918182916576
2.142857142857143,3.9378238929437446
2.603773523574171,1.4999998876083989
1.3999998921040677,1.8333333707972004
2.0000002997109587,1.4866312174007001
2.3333335830924655,3.8913043546202566
3.0,3.1860461288382784
2.419191998196554,1.4166666853986
4.11111100368566,2.857142857142857
3.4561403227949308,1.7008929517263007
2.9999997109930443,2.0
4.7272727272727275,1.5517240921311526
3.2149528300845294,5.557142880967827
