N5325BAINITE,N5440MARTENSITE
11763.259199999999,31190.460000000003
7944.0192,3394.88
6416.3232,7001.9400000000005
8860.6368,4349.6900000000005
14513.111999999997,3925.3300000000004
5499.7056,4561.87
4888.6272,5941.040000000001
4583.088,4349.6900000000005
6874.632,10609.0
10846.6416,5198.410000000001
7791.249599999999,6259.31
5041.3967999999995,9972.460000000001
4583.088,6047.13
8249.5584,7214.120000000001
4888.6272,4774.05
7944.0192,11775.990000000002
4583.088,3394.88
6721.8624,4774.05
17568.503999999997,4774.05
9930.024,8275.02
9471.715199999999,4774.05
8402.328,4031.42
4735.857599999999,5834.95
12832.6464,5622.770000000001
6874.632,6683.670000000001
6263.553599999999,3500.9700000000003
28109.606399999997,9229.830000000002
4583.088,7532.390000000001
6416.3232,17610.940000000002
6416.3232,6259.31
5194.166399999999,3288.7900000000004
4888.6272,11351.630000000001
22457.131199999996,3607.0600000000004
4888.6272,5198.410000000001
5958.014399999999,5198.410000000001
7944.0192,7850.660000000001
15276.96,8062.84
16499.1168,4667.960000000001
18179.5824,9654.19
9624.4848,3182.7000000000003
5652.4752,9017.65
7485.7104,4455.780000000001
6721.8624,7426.3
6569.092799999999,3713.15
5041.3967999999995,11669.9
4888.6272,11457.720000000001
11916.028799999998,18777.93
7791.249599999999,7744.570000000001
6874.632,5304.5
15429.729599999999,8699.380000000001
6110.784,12942.980000000001
4888.6272,8911.560000000001
5652.4752,4455.780000000001
16346.3472,3713.15
4888.6272,3394.88
9471.715199999999,3394.88
5805.2447999999995,14322.15
11916.028799999998,16762.22
6263.553599999999,3182.7000000000003
5805.2447999999995,10502.91
5346.935999999999,4349.6900000000005
11152.1808,4455.780000000001
5041.3967999999995,7532.390000000001
5652.4752,12306.440000000002
5194.166399999999,7001.9400000000005
5041.3967999999995,3607.0600000000004
5805.2447999999995,6047.13
6874.632,8275.02
4583.088,10927.27
6263.553599999999,14216.060000000001
7638.48,4455.780000000001
7332.9408,6577.580000000001
8555.0976,4137.51
5805.2447999999995,6577.580000000001
5041.3967999999995,11351.630000000001
8707.867199999999,3819.2400000000002
10846.6416,8487.2
5499.7056,9654.19
5652.4752,4243.6
8555.0976,4880.14
15735.2688,3713.15
13596.4944,18035.3
4888.6272,8275.02
6721.8624,4880.14
5346.935999999999,3182.7000000000003
8860.6368,7638.4800000000005
18179.5824,11988.170000000002
11152.1808,9335.920000000002
7180.171199999999,5092.320000000001
5041.3967999999995,3713.15
7485.7104,3288.7900000000004
11457.72,10927.27
7638.48,4455.780000000001
5805.2447999999995,4243.6
